X_in,X_out
3347,1838
977,241
3762,6
522,29
492,10
168,6
1100,2
7,1
2521,608
2027,5
363,9
3582,1580
2107,1010
1912,314
1586,1
1721,1
3110,2965
123,1
1708,1
351,1280
2662,26
974,29
2742,3
2182,7
1157,499
2569,21
3890,1606
2226,127
1791,915
3110,280
2474,812
582,1
3399,7
712,355
3894,871
2888,1188
1752,6
1071,2
2750,140
1836,148
2143,726
98,422
3016,487
2700,49
5,96
2442,1626
182,3088
1630,26
2970,1329
3866,714
772,356
631,63
1632,18
2863,29
3524,774
954,12
493,1996
1929,574
335,844
1569,52
408,274
503,39
2321,21
55,1003
2506,1788
1156,1096
1058,1782
37,1083
2373,2318
1517,29
2631,9
1818,365
1483,1815
1917,115
102,52
1601,24
2174,69
5,1665
1204,4
90,823
7,375
1380,6
1055,4
3264,1
855,577
12,3775
1702,489
3610,5
209,1
225,446
115,2
11,1928
563,1
4,10
2565,1163
1452,149
3743,11
1098,14
1079,102
876,1
678,922
560,1
2759,37
794,631
918,2280
201,569
2187,61
682,5
3087,51
2843,27
706,3409
2414,730
182,10
3902,634
218,1
1280,30
2443,1287
187,46
924,25
1500,1
582,76
823,138
10,4
521,80
1274,531
1985,2
344,32
474,817
1406,717
8,22
1057,162
9,329
1006,7
2357,43
130,28
2709,50
479,1
1468,97
23,9
1793,100
1411,31
3059,21
410,26
6,3
3893,73
1345,207
1205,29
2901,155
3551,3
2054,1
2855,171
32,219
3574,1155
897,1477
3818,6
1388,200
3022,1198
3915,33
3083,13
660,57
2547,2581
3196,2
252,1
594,158
390,1063
25,3283
48,36
62,1273
293,11
390,3443
3159,8
358,369
454,557
2238,54
2859,344
136,2464
1227,130
859,88
409,7
2462,3535
560,188
1085,2
45,2940
3065,3411
648,12
1864,1356
3308,800
3295,95
4,28
394,1
2671,85
3989,5
588,5
3813,2
1263,1
988,28
3118,29
2652,911
986,22
331,1
3824,2
1323,1786
1299,4
3011,115
47,311
1382,66
2285,3335
3848,728
22,17
3598,37
3956,112
332,2391
1088,1192
221,6
1170,1170
913,39
3153,77
5,17
69,32
880,602
588,72
502,7
73,474
1611,5
3931,640
1119,2253
2398,1
35,1
1040,35
792,7
2039,313
1471,27
576,26
9,1924
2140,7
1374,166
687,6
854,1
1005,3917
2759,96
3500,1223
15,591
266,379
2694,3
2661,53
3446,83
2479,25
1830,376
1448,1344
2794,7
1396,104
300,38
2220,4
128,4
2752,6
1669,1
1614,3
653,1727
1036,1
2139,1141
6,126
374,861
927,1
2945,127
2293,66
2342,1
1197,1807
1619,6
20,1
2428,1117
2375,358
2669,1835
550,2056
884,17
2801,95
416,3679
1797,38
3163,4
789,7
306,1045
1773,973
1018,14
442,182
1477,224
1843,35
244,577
2138,340
1436,704
2711,5
3603,2142
3289,26
337,1120
1015,283
2082,114
3613,88
118,4
2233,6
33,7
2336,80
1371,1191
1091,1594
5,1137
2651,8
29,1675
3001,841
384,10
3584,2837
3415,51
2281,98
7,952
314,3250
2284,2
587,3
1297,12
769,1
159,1001
3958,3875
519,1
2008,2288
3980,100
1330,400
6,62
1783,76
158,11
2848,1276
143,12
73,946
1042,39
6,11
1268,1383
955,3
3968,15
1580,1
1824,885
58,6
